Name,Unit price
"""The Joshua"" Model","$90,255.00"
40 ft Standard Container Office,"$42,696.00"
20 ft Standard Container Office,"$25,099.00"
20 ft Split Office Storage and  Office ,"$22,550.00"
"""The Magnolia"" Model","$119,803.00"
"""The Olive"" Model","$155,074.00"
"""The Homestead"" Model","$196,292.00"
"""The Porter"" Model (#2508)","$141,041.00"
"""The Casey"" Model","$217,583.00"
"""The Elm"" Model","$118,811.00"
Shipping Container Store ,"$33,231.00"
10 ft Container Office,"$18,000.00"
"""The Washbox"" Model (i-20-shower-1)","$57,665.00"
The Scholar with Kitchenettes,"$72,137.00"
The Scholar ADA with Kitchenettes,"$78,187.00"
The Scholar without Kitchenettes,"$67,737.00"
The Scholar ADA without Kitchenettes,"$73,787.00"
20 ft Container Bar - Ready to Ship (i-20-store-1-1-2),"$35,000.00"
40 ft Split Container Office (o-40-split),"$48,024.00"
40 ft Container Bar,"$95,000.00"
"""The Redwood"" Model ","$73,304.00"
40 ft Premium Container Kitchen ,"$150,000.00"
"""The Maple"" Model ","$81,311.00"
Mobile Laundromat (i-20-bathroom-1-2),"$33,129.00"
20 ft Container Bar - Standard ,"$50,000.00"
"""The Oak"" Model (#3578)","$68,026.00"
40 ft Container Gym,"$55,728.00"
"""The Beaumont"" Model (h-20-beaumont)","$47,544.00"
"""The Marble Falls"" Model","$128,723.00"
"""The Abilene"" Model ","$45,357.00"
"""The Kerrville"" Model","$54,687.00"
"""The Dripping Springs"" Model","$54,687.00"
"""The Cleveland"" Model ","$43,116.00"
"""The Cedar"" Model ","$61,608.00"
"""The Elgin"" Model ","$64,241.00"
"""The Bluegrass"" Model ","$62,047.00"
"""The Birch"" Model ","$62,047.00"
"""The Lubbock"" Model ","$88,245.00"
"""The Alpine"" Model | DIY Kit","$41,600.00"
"""The Abilene"" Model | DIY Kit","$31,749.00"
"""The Evergreen"" Model","$64,241.00"
"""The Washrooms"" Model (i-20-shower)","$57,249.00"
"""The Taylor"" Model","$109,894.00"
20 ft Container Barbershop ,"$39,592.00"
"""The Birch"" Model | DIY Kit","$42,075.00"
"""The Beaumont"" Model | DIY Kit","$29,112.00"
10' New Container,"$5,950.00"
40 ft Used High Cube Container,"$4,500.00"
